,0,1,2,3,4,5,6,7,8,9,10,11,12
0,0.0,0.016,0.408,0.873,0.967,1.0,,,,,,,
1,0.0,0.016,0.408,0.873,0.967,1.0,,,,,,,
2,0.0,0.016,0.408,0.873,0.967,1.0,,,,,,,
3,0.0,0.046,0.474,0.86,0.978,0.996,1.0,,,,,,
4,0.0,0.046,0.474,0.86,0.978,0.996,1.0,,,,,,
5,0.0,0.046,0.474,0.86,0.978,0.996,1.0,,,,,,
6,0.0,0.046,0.474,0.86,0.978,0.996,1.0,,,,,,
7,0.0,0.046,0.474,0.86,0.978,0.996,1.0,,,,,,
8,0.0,0.046,0.474,0.86,0.978,0.996,1.0,,,,,,
9,0.0,0.015,0.472,0.874,0.971,1.0,,,,,,,
10,0.0,0.015,0.472,0.874,0.971,1.0,,,,,,,
11,0.0,0.015,0.472,0.874,0.971,1.0,,,,,,,
12,0.0,0.015,0.472,0.874,0.971,1.0,,,,,,,
13,0.0,0.015,0.472,0.874,0.971,1.0,,,,,,,
14,0.0,0.015,0.472,0.874,0.971,1.0,,,,,,,
15,0.0,0.015,0.472,0.874,0.971,1.0,,,,,,,
16,0.0,0.014,0.476,0.836,0.923,1.0,,,,,,,
17,0.0,0.014,0.476,0.836,0.923,1.0,,,,,,,
18,0.0,0.014,0.476,0.836,0.923,1.0,,,,,,,
19,0.0,0.014,0.476,0.836,0.923,1.0,,,,,,,
20,0.0,0.014,0.476,0.836,0.923,1.0,,,,,,,
21,0.0,0.014,0.476,0.836,0.923,1.0,,,,,,,
22,0.0,0.014,0.476,0.836,0.923,1.0,,,,,,,
23,0.0,0.015,0.448,0.861,0.955,0.993,1.0,,,,,,
24,0.0,0.015,0.448,0.861,0.955,0.993,1.0,,,,,,
25,0.0,0.015,0.448,0.861,0.955,0.993,1.0,,,,,,
26,0.0,0.015,0.448,0.861,0.955,0.993,1.0,,,,,,
27,0.0,0.015,0.448,0.861,0.955,0.993,1.0,,,,,,
28,0.0,0.015,0.448,0.861,0.955,0.993,1.0,,,,,,
29,0.0,0.016,0.464,0.866,0.959,1.0,,,,,,,
30,0.0,0.016,0.464,0.866,0.959,1.0,,,,,,,
31,0.0,0.016,0.464,0.866,0.959,1.0,,,,,,,
32,0.0,0.016,0.464,0.866,0.959,1.0,,,,,,,
33,0.0,0.016,0.464,0.866,0.959,1.0,,,,,,,
34,0.0,0.016,0.464,0.866,0.959,1.0,,,,,,,
35,0.0,0.016,0.464,0.866,0.959,1.0,,,,,,,
36,0.0,0.031,0.45,0.844,0.971,1.0,,,,,,,
37,0.0,0.031,0.45,0.844,0.971,1.0,,,,,,,
38,0.0,0.031,0.45,0.844,0.971,1.0,,,,,,,
39,0.0,0.031,0.45,0.844,0.971,1.0,,,,,,,
40,0.0,0.031,0.45,0.844,0.971,1.0,,,,,,,
41,0.0,0.031,0.45,0.844,0.971,1.0,,,,,,,
42,0.0,0.031,0.45,0.844,0.971,1.0,,,,,,,
43,0.0,0.031,0.439,0.874,0.97,1.0,,,,,,,
44,0.0,0.031,0.439,0.874,0.97,1.0,,,,,,,
45,0.0,0.031,0.439,0.874,0.97,1.0,,,,,,,
46,0.0,0.031,0.439,0.874,0.97,1.0,,,,,,,
47,0.0,0.031,0.439,0.874,0.97,1.0,,,,,,,
48,0.0,0.031,0.439,0.874,0.97,1.0,,,,,,,
49,0.0,0.014,0.462,0.841,0.96,1.0,,,,,,,
50,0.0,0.014,0.462,0.841,0.96,1.0,,,,,,,
51,0.0,0.014,0.462,0.841,0.96,1.0,,,,,,,
52,0.0,0.014,0.462,0.841,0.96,1.0,,,,,,,
53,0.0,0.014,0.462,0.841,0.96,1.0,,,,,,,
54,0.0,0.014,0.462,0.841,0.96,1.0,,,,,,,
55,0.0,0.014,0.462,0.841,0.96,1.0,,,,,,,
56,0.0,0.016,0.465,0.835,0.945,1.0,,,,,,,
57,0.0,0.016,0.465,0.835,0.945,1.0,,,,,,,
58,0.0,0.016,0.465,0.835,0.945,1.0,,,,,,,
59,0.0,0.016,0.465,0.835,0.945,1.0,,,,,,,
60,0.0,0.016,0.465,0.835,0.945,1.0,,,,,,,
61,0.0,0.016,0.465,0.835,0.945,1.0,,,,,,,
62,0.0,0.016,0.465,0.835,0.945,1.0,,,,,,,
63,0.0,0.015,0.44,0.849,0.953,1.0,,,,,,,
64,0.0,0.015,0.44,0.849,0.953,1.0,,,,,,,
65,0.0,0.015,0.44,0.849,0.953,1.0,,,,,,,
66,0.0,0.015,0.44,0.849,0.953,1.0,,,,,,,
67,0.0,0.015,0.44,0.849,0.953,1.0,,,,,,,
68,0.0,0.015,0.44,0.849,0.953,1.0,,,,,,,
69,0.0,0.014,0.464,0.878,0.971,1.0,,,,,,,
70,0.0,0.014,0.464,0.878,0.971,1.0,,,,,,,
71,0.0,0.014,0.464,0.878,0.971,1.0,,,,,,,
72,0.0,0.014,0.464,0.878,0.971,1.0,,,,,,,
73,0.0,0.014,0.464,0.878,0.971,1.0,,,,,,,
74,0.0,0.014,0.464,0.878,0.971,1.0,,,,,,,
75,0.0,0.014,0.464,0.878,0.971,1.0,,,,,,,
76,0.0,0.015,0.497,0.828,0.947,1.0,,,,,,,
77,0.0,0.015,0.497,0.828,0.947,1.0,,,,,,,
78,0.0,0.015,0.497,0.828,0.947,1.0,,,,,,,
79,0.0,0.015,0.497,0.828,0.947,1.0,,,,,,,
80,0.0,0.015,0.497,0.828,0.947,1.0,,,,,,,
81,0.0,0.015,0.497,0.828,0.947,1.0,,,,,,,
82,0.0,0.015,0.497,0.828,0.947,1.0,,,,,,,
83,0.0,0.016,0.459,0.858,0.952,1.0,,,,,,,
84,0.0,0.016,0.459,0.858,0.952,1.0,,,,,,,
85,0.0,0.016,0.459,0.858,0.952,1.0,,,,,,,
86,0.0,0.016,0.459,0.858,0.952,1.0,,,,,,,
87,0.0,0.016,0.459,0.858,0.952,1.0,,,,,,,
88,0.0,0.016,0.459,0.858,0.952,1.0,,,,,,,
89,0.0,0.031,0.474,0.877,0.968,1.0,,,,,,,
90,0.0,0.031,0.474,0.877,0.968,1.0,,,,,,,
91,0.0,0.031,0.474,0.877,0.968,1.0,,,,,,,
92,0.0,0.031,0.474,0.877,0.968,1.0,,,,,,,
93,0.0,0.031,0.474,0.877,0.968,1.0,,,,,,,
94,0.0,0.031,0.474,0.877,0.968,1.0,,,,,,,
95,0.0,0.031,0.474,0.877,0.968,1.0,,,,,,,
96,0.0,0.017,0.468,0.888,0.972,1.0,,,,,,,
97,0.0,0.017,0.468,0.888,0.972,1.0,,,,,,,
98,0.0,0.017,0.468,0.888,0.972,1.0,,,,,,,
99,0.0,0.017,0.468,0.888,0.972,1.0,,,,,,,
100,0.0,0.132,0.3,0.458,0.739,0.809,0.846,0.854,0.909,0.926,0.94,1.0,
101,0.0,0.132,0.3,0.458,0.739,0.809,0.846,0.854,0.909,0.926,0.94,1.0,
102,0.0,0.132,0.3,0.458,0.739,0.809,0.846,0.854,0.909,0.926,0.94,1.0,
103,0.0,0.132,0.3,0.458,0.739,0.809,0.846,0.854,0.909,0.926,0.94,1.0,
104,0.0,0.132,0.3,0.458,0.739,0.809,0.846,0.854,0.909,0.926,0.94,1.0,
105,0.0,0.132,0.308,0.499,0.732,0.802,0.835,0.843,0.894,0.93,0.943,1.0,
106,0.0,0.132,0.308,0.499,0.732,0.802,0.835,0.843,0.894,0.93,0.943,1.0,
107,0.0,0.132,0.308,0.499,0.732,0.802,0.835,0.843,0.894,0.93,0.943,1.0,
108,0.0,0.132,0.308,0.499,0.732,0.802,0.835,0.843,0.894,0.93,0.943,1.0,
109,0.0,0.132,0.308,0.499,0.732,0.802,0.835,0.843,0.894,0.93,0.943,1.0,
110,0.0,0.132,0.308,0.499,0.732,0.802,0.835,0.843,0.894,0.93,0.943,1.0,
111,0.0,0.132,0.308,0.499,0.732,0.802,0.835,0.843,0.894,0.93,0.943,1.0,
112,0.0,0.135,0.308,0.498,0.732,0.801,0.835,0.843,0.896,0.932,0.946,1.0,
113,0.0,0.135,0.308,0.498,0.732,0.801,0.835,0.843,0.896,0.932,0.946,1.0,
114,0.0,0.135,0.308,0.498,0.732,0.801,0.835,0.843,0.896,0.932,0.946,1.0,
115,0.0,0.135,0.308,0.498,0.732,0.801,0.835,0.843,0.896,0.932,0.946,1.0,
116,0.0,0.135,0.308,0.498,0.732,0.801,0.835,0.843,0.896,0.932,0.946,1.0,
117,0.0,0.135,0.308,0.498,0.732,0.801,0.835,0.843,0.896,0.932,0.946,1.0,
118,0.0,0.131,0.305,0.497,0.727,0.802,0.834,0.842,0.894,0.93,0.944,1.0,
119,0.0,0.131,0.305,0.497,0.727,0.802,0.834,0.842,0.894,0.93,0.944,1.0,
120,0.0,0.131,0.305,0.497,0.727,0.802,0.834,0.842,0.894,0.93,0.944,1.0,
121,0.0,0.131,0.305,0.497,0.727,0.802,0.834,0.842,0.894,0.93,0.944,1.0,
122,0.0,0.131,0.305,0.497,0.727,0.802,0.834,0.842,0.894,0.93,0.944,1.0,
123,0.0,0.131,0.305,0.497,0.727,0.802,0.834,0.842,0.894,0.93,0.944,1.0,
124,0.0,0.131,0.305,0.497,0.727,0.802,0.834,0.842,0.894,0.93,0.944,1.0,
125,0.0,0.076,0.262,0.462,0.619,0.72,0.848,0.873,0.941,0.95,0.981,0.993,1.0
126,0.0,0.076,0.265,0.448,0.628,0.724,0.849,0.875,0.939,0.947,0.979,0.992,1.0
127,0.0,0.076,0.265,0.448,0.628,0.724,0.849,0.875,0.939,0.947,0.979,0.992,1.0
128,0.0,0.076,0.265,0.448,0.628,0.724,0.849,0.875,0.939,0.947,0.979,0.992,1.0
129,0.0,0.076,0.265,0.448,0.628,0.724,0.849,0.875,0.939,0.947,0.979,0.992,1.0
130,0.0,0.076,0.265,0.448,0.628,0.724,0.849,0.875,0.939,0.947,0.979,0.992,1.0
131,0.0,0.076,0.265,0.448,0.628,0.724,0.849,0.875,0.939,0.947,0.979,0.992,1.0
132,0.0,0.075,0.261,0.458,0.617,0.714,0.853,0.88,0.942,0.948,0.979,0.993,1.0
133,0.0,0.075,0.261,0.458,0.617,0.714,0.853,0.88,0.942,0.948,0.979,0.993,1.0
134,0.0,0.075,0.261,0.458,0.617,0.714,0.853,0.88,0.942,0.948,0.979,0.993,1.0
135,0.0,0.075,0.261,0.458,0.617,0.714,0.853,0.88,0.942,0.948,0.979,0.993,1.0
136,0.0,0.075,0.261,0.458,0.617,0.714,0.853,0.88,0.942,0.948,0.979,0.993,1.0
137,0.0,0.075,0.261,0.458,0.617,0.714,0.853,0.88,0.942,0.948,0.979,0.993,1.0
138,0.0,0.075,0.261,0.458,0.617,0.714,0.853,0.88,0.942,0.948,0.979,0.993,1.0
139,0.0,0.075,0.264,0.444,0.62,0.717,0.85,0.877,0.94,0.947,0.978,0.992,1.0
140,0.0,0.075,0.264,0.444,0.62,0.717,0.85,0.877,0.94,0.947,0.978,0.992,1.0
141,0.0,0.075,0.264,0.444,0.62,0.717,0.85,0.877,0.94,0.947,0.978,0.992,1.0
142,0.0,0.075,0.264,0.444,0.62,0.717,0.85,0.877,0.94,0.947,0.978,0.992,1.0
143,0.0,0.075,0.264,0.444,0.62,0.717,0.85,0.877,0.94,0.947,0.978,0.992,1.0
144,0.0,0.075,0.264,0.444,0.62,0.717,0.85,0.877,0.94,0.947,0.978,0.992,1.0
145,0.0,0.075,0.264,0.444,0.62,0.717,0.85,0.877,0.94,0.947,0.978,0.992,1.0
146,0.0,0.074,0.257,0.454,0.614,0.724,0.848,0.875,0.94,0.947,0.978,0.992,1.0
147,0.0,0.074,0.257,0.454,0.614,0.724,0.848,0.875,0.94,0.947,0.978,0.992,1.0
148,0.0,0.074,0.257,0.454,0.614,0.724,0.848,0.875,0.94,0.947,0.978,0.992,1.0
149,0.0,0.074,0.257,0.454,0.614,0.724,0.848,0.875,0.94,0.947,0.978,0.992,1.0
150,0.0,0.081,0.251,0.471,0.644,0.793,0.853,0.911,0.936,0.936,0.975,1.0,
151,0.0,0.081,0.251,0.471,0.644,0.793,0.853,0.911,0.936,0.936,0.975,1.0,
152,0.0,0.081,0.251,0.471,0.644,0.793,0.853,0.911,0.936,0.936,0.975,1.0,
153,0.0,0.079,0.24,0.446,0.624,0.698,0.85,0.911,0.936,0.936,0.976,1.0,
154,0.0,0.079,0.24,0.446,0.624,0.698,0.85,0.911,0.936,0.936,0.976,1.0,
155,0.0,0.079,0.24,0.446,0.624,0.698,0.85,0.911,0.936,0.936,0.976,1.0,
156,0.0,0.079,0.24,0.446,0.624,0.698,0.85,0.911,0.936,0.936,0.976,1.0,
157,0.0,0.079,0.24,0.446,0.624,0.698,0.85,0.911,0.936,0.936,0.976,1.0,
158,0.0,0.079,0.24,0.446,0.624,0.698,0.85,0.911,0.936,0.936,0.976,1.0,
159,0.0,0.089,0.264,0.475,0.646,0.723,0.868,0.919,0.937,0.937,0.978,1.0,
160,0.0,0.089,0.264,0.475,0.646,0.723,0.868,0.919,0.937,0.937,0.978,1.0,
161,0.0,0.089,0.264,0.475,0.646,0.723,0.868,0.919,0.937,0.937,0.978,1.0,
162,0.0,0.089,0.264,0.475,0.646,0.723,0.868,0.919,0.937,0.937,0.978,1.0,
163,0.0,0.089,0.264,0.475,0.646,0.723,0.868,0.919,0.937,0.937,0.978,1.0,
164,0.0,0.089,0.264,0.475,0.646,0.723,0.868,0.919,0.937,0.937,0.978,1.0,
165,0.0,0.089,0.264,0.475,0.646,0.723,0.868,0.919,0.937,0.937,0.978,1.0,
