,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,0,0.02,0.533,0.96,1,,,,,,,,,
1,0,0.02,0.533,0.96,1,,,,,,,,,
2,0,0.02,0.533,0.96,1,,,,,,,,,
3,0,0.02,0.533,0.96,1,,,,,,,,,
4,0,0.02,0.533,0.96,1,,,,,,,,,
5,0,0.02,0.533,0.96,1,,,,,,,,,
6,0,0.02,0.533,0.96,1,,,,,,,,,
7,0,0.005,0.552,0.965,1,,,,,,,,,
8,0,0.005,0.552,0.965,1,,,,,,,,,
9,0,0.005,0.552,0.965,1,,,,,,,,,
10,0,0.005,0.552,0.965,1,,,,,,,,,
11,0,0.005,0.552,0.965,1,,,,,,,,,
12,0,0.005,0.552,0.965,1,,,,,,,,,
13,0,0.005,0.552,0.965,1,,,,,,,,,
14,0,0.005,0.532,0.962,1,,,,,,,,,
15,0,0.005,0.532,0.962,1,,,,,,,,,
16,0,0.005,0.532,0.962,1,,,,,,,,,
17,0,0.005,0.532,0.962,1,,,,,,,,,
18,0,0.005,0.532,0.962,1,,,,,,,,,
19,0,0.005,0.532,0.962,1,,,,,,,,,
20,0,0.022,0.531,0.956,0.995,0.995,0.995,0.995,1,,,,,
21,0,0.022,0.531,0.956,0.995,0.995,0.995,0.995,1,,,,,
22,0,0.022,0.531,0.956,0.995,0.995,0.995,0.995,1,,,,,
23,0,0.022,0.531,0.956,0.995,0.995,0.995,0.995,1,,,,,
24,0,0.022,0.531,0.956,0.995,0.995,0.995,0.995,1,,,,,
25,0,0.022,0.531,0.956,0.995,0.995,0.995,0.995,1,,,,,
26,0,0.022,0.531,0.956,0.995,0.995,0.995,0.995,1,,,,,
27,0,0.005,0.534,0.961,1,,,,,,,,,
28,0,0.005,0.534,0.961,1,,,,,,,,,
29,0,0.005,0.534,0.961,1,,,,,,,,,
30,0,0.005,0.534,0.961,1,,,,,,,,,
31,0,0.005,0.534,0.961,1,,,,,,,,,
32,0,0.005,0.534,0.961,1,,,,,,,,,
33,0,0.005,0.534,0.961,1,,,,,,,,,
34,0,0.021,0.547,0.974,1,,,,,,,,,
35,0,0.021,0.547,0.974,1,,,,,,,,,
36,0,0.021,0.547,0.974,1,,,,,,,,,
37,0,0.021,0.547,0.974,1,,,,,,,,,
38,0,0.021,0.547,0.974,1,,,,,,,,,
39,0,0.021,0.547,0.974,1,,,,,,,,,
40,0,0.021,0.543,0.964,0.995,0.995,0.995,0.995,1,,,,,
41,0,0.021,0.543,0.964,0.995,0.995,0.995,0.995,1,,,,,
42,0,0.021,0.543,0.964,0.995,0.995,0.995,0.995,1,,,,,
43,0,0.021,0.543,0.964,0.995,0.995,0.995,0.995,1,,,,,
44,0,0.021,0.543,0.964,0.995,0.995,0.995,0.995,1,,,,,
45,0,0.021,0.543,0.964,0.995,0.995,0.995,0.995,1,,,,,
46,0,0.021,0.543,0.964,0.995,0.995,0.995,0.995,1,,,,,
47,0,0.022,0.545,0.963,0.995,0.995,0.995,0.995,1,,,,,
48,0,0.022,0.545,0.963,0.995,0.995,0.995,0.995,1,,,,,
49,0,0.022,0.545,0.963,0.995,0.995,0.995,0.995,1,,,,,
50,0,0.022,0.545,0.963,0.995,0.995,0.995,0.995,1,,,,,
51,0,0.022,0.545,0.963,0.995,0.995,0.995,0.995,1,,,,,
52,0,0.022,0.545,0.963,0.995,0.995,0.995,0.995,1,,,,,
53,0,0.022,0.545,0.963,0.995,0.995,0.995,0.995,1,,,,,
54,0,0.008,0.56,0.964,1,,,,,,,,,
55,0,0.008,0.56,0.964,1,,,,,,,,,
56,0,0.008,0.56,0.964,1,,,,,,,,,
57,0,0.008,0.56,0.964,1,,,,,,,,,
58,0,0.008,0.56,0.964,1,,,,,,,,,
59,0,0.008,0.56,0.964,1,,,,,,,,,
60,0,0.024,0.56,0.965,1,,,,,,,,,
61,0,0.024,0.56,0.965,1,,,,,,,,,
62,0,0.024,0.56,0.965,1,,,,,,,,,
63,0,0.024,0.56,0.965,1,,,,,,,,,
64,0,0.024,0.56,0.965,1,,,,,,,,,
65,0,0.024,0.56,0.965,1,,,,,,,,,
66,0,0.024,0.56,0.965,1,,,,,,,,,
67,0,0.007,0.552,0.964,1,,,,,,,,,
68,0,0.007,0.552,0.964,1,,,,,,,,,
69,0,0.007,0.552,0.964,1,,,,,,,,,
70,0,0.007,0.552,0.964,1,,,,,,,,,
71,0,0.007,0.552,0.964,1,,,,,,,,,
72,0,0.007,0.552,0.964,1,,,,,,,,,
73,0,0.007,0.552,0.964,1,,,,,,,,,
74,0,0.008,0.521,0.967,1,,,,,,,,,
75,0,0.008,0.521,0.967,1,,,,,,,,,
76,0,0.008,0.521,0.967,1,,,,,,,,,
77,0,0.008,0.521,0.967,1,,,,,,,,,
78,0,0.008,0.521,0.967,1,,,,,,,,,
79,0,0.008,0.521,0.967,1,,,,,,,,,
80,0,0.025,0.557,0.966,1,,,,,,,,,
81,0,0.025,0.557,0.966,1,,,,,,,,,
82,0,0.025,0.557,0.966,1,,,,,,,,,
83,0,0.025,0.557,0.966,1,,,,,,,,,
84,0,0.025,0.557,0.966,1,,,,,,,,,
85,0,0.025,0.557,0.966,1,,,,,,,,,
86,0,0.025,0.557,0.966,1,,,,,,,,,
87,0,0.007,0.556,0.962,1,,,,,,,,,
88,0,0.007,0.556,0.962,1,,,,,,,,,
89,0,0.007,0.556,0.962,1,,,,,,,,,
90,0,0.007,0.556,0.962,1,,,,,,,,,
91,0,0.007,0.556,0.962,1,,,,,,,,,
92,0,0.007,0.556,0.962,1,,,,,,,,,
93,0,0.007,0.556,0.962,1,,,,,,,,,
94,0,0.022,0.541,0.962,0.996,0.996,0.996,0.996,1,,,,,
95,0,0.022,0.541,0.962,0.996,0.996,0.996,0.996,1,,,,,
