,0,1,2,3,4,5,6,7,8,9,10,11,12
82,0.0,0.062,0.555,0.836,0.952,1.0,,,,,,,
83,0.0,0.062,0.552,0.834,0.952,1.0,,,,,,,
84,0.0,0.062,0.552,0.834,0.952,1.0,,,,,,,
85,0.0,0.062,0.552,0.834,0.952,1.0,,,,,,,
86,0.0,0.062,0.552,0.834,0.952,1.0,,,,,,,
87,0.0,0.062,0.552,0.834,0.952,1.0,,,,,,,
88,0.0,0.062,0.552,0.834,0.952,1.0,,,,,,,
89,0.0,0.061,0.618,0.848,0.952,1.0,,,,,,,
90,0.0,0.061,0.618,0.848,0.952,1.0,,,,,,,
91,0.0,0.061,0.618,0.848,0.952,1.0,,,,,,,
92,0.0,0.061,0.618,0.848,0.952,1.0,,,,,,,
93,0.0,0.061,0.618,0.848,0.952,1.0,,,,,,,
94,0.0,0.061,0.618,0.848,0.952,1.0,,,,,,,
95,0.0,0.061,0.618,0.848,0.952,1.0,,,,,,,
96,0.0,0.061,0.657,0.838,0.952,1.0,,,,,,,
97,0.0,0.061,0.657,0.838,0.952,1.0,,,,,,,
98,0.0,0.061,0.657,0.838,0.952,1.0,,,,,,,
99,0.0,0.061,0.657,0.838,0.952,1.0,,,,,,,
100,0.0,0.141,0.401,0.523,0.613,0.692,0.792,0.855,0.915,0.922,0.953,1.0,
101,0.0,0.141,0.401,0.523,0.613,0.692,0.792,0.855,0.915,0.922,0.953,1.0,
102,0.0,0.141,0.401,0.523,0.613,0.692,0.792,0.855,0.915,0.922,0.953,1.0,
103,0.0,0.141,0.401,0.523,0.613,0.692,0.792,0.855,0.915,0.922,0.953,1.0,
104,0.0,0.141,0.396,0.522,0.612,0.69,0.788,0.854,0.914,0.92,0.953,1.0,
105,0.0,0.141,0.396,0.522,0.612,0.69,0.788,0.854,0.914,0.92,0.953,1.0,
106,0.0,0.141,0.396,0.522,0.612,0.69,0.788,0.854,0.914,0.92,0.953,1.0,
107,0.0,0.141,0.396,0.522,0.612,0.69,0.788,0.854,0.914,0.92,0.953,1.0,
108,0.0,0.141,0.396,0.522,0.612,0.69,0.788,0.854,0.914,0.92,0.953,1.0,
109,0.0,0.141,0.396,0.522,0.612,0.69,0.788,0.854,0.914,0.92,0.953,1.0,
110,0.0,0.141,0.396,0.522,0.612,0.69,0.788,0.854,0.914,0.92,0.953,1.0,
111,0.0,0.14,0.38,0.504,0.611,0.687,0.788,0.853,0.912,0.919,0.952,1.0,
112,0.0,0.14,0.38,0.504,0.611,0.687,0.788,0.853,0.912,0.919,0.952,1.0,
113,0.0,0.14,0.38,0.504,0.611,0.687,0.788,0.853,0.912,0.919,0.952,1.0,
114,0.0,0.14,0.38,0.504,0.611,0.687,0.788,0.853,0.912,0.919,0.952,1.0,
115,0.0,0.14,0.38,0.504,0.611,0.687,0.788,0.853,0.912,0.919,0.952,1.0,
116,0.0,0.14,0.38,0.504,0.611,0.687,0.788,0.853,0.912,0.919,0.952,1.0,
117,0.0,0.14,0.38,0.504,0.611,0.687,0.788,0.853,0.912,0.919,0.952,1.0,
118,0.0,0.143,0.389,0.505,0.587,0.69,0.766,0.849,0.906,0.917,0.952,1.0,
119,0.0,0.143,0.389,0.505,0.587,0.69,0.766,0.849,0.906,0.917,0.952,1.0,
120,0.0,0.143,0.389,0.505,0.587,0.69,0.766,0.849,0.906,0.917,0.952,1.0,
121,0.0,0.143,0.389,0.505,0.587,0.69,0.766,0.849,0.906,0.917,0.952,1.0,
122,0.0,0.143,0.389,0.505,0.587,0.69,0.766,0.849,0.906,0.917,0.952,1.0,
123,0.0,0.143,0.389,0.505,0.587,0.69,0.766,0.849,0.906,0.917,0.952,1.0,
124,0.0,0.183,0.408,0.514,0.583,0.655,0.744,0.854,0.914,0.951,0.969,1.0,
