,0,1,2,3,4,5,6,7,8,9,10,11
0,0.0,0.018,0.276,0.719,0.904,0.904,0.913,0.989,1.0,,,
1,0.0,0.018,0.276,0.719,0.904,0.904,0.913,0.989,1.0,,,
2,0.0,0.018,0.276,0.719,0.904,0.904,0.913,0.989,1.0,,,
3,0.0,0.018,0.276,0.719,0.904,0.904,0.913,0.989,1.0,,,
4,0.0,0.018,0.276,0.719,0.904,0.904,0.913,0.989,1.0,,,
5,0.0,0.018,0.276,0.719,0.904,0.904,0.913,0.989,1.0,,,
6,0.0,0.018,0.276,0.719,0.904,0.904,0.913,0.989,1.0,,,
7,0.0,0.018,0.273,0.695,0.904,0.904,0.913,0.988,1.0,,,
8,0.0,0.018,0.273,0.695,0.904,0.904,0.913,0.988,1.0,,,
9,0.0,0.018,0.273,0.695,0.904,0.904,0.913,0.988,1.0,,,
10,0.0,0.018,0.273,0.695,0.904,0.904,0.913,0.988,1.0,,,
11,0.0,0.018,0.273,0.695,0.904,0.904,0.913,0.988,1.0,,,
12,0.0,0.018,0.273,0.695,0.904,0.904,0.913,0.988,1.0,,,
13,0.0,0.018,0.273,0.695,0.904,0.904,0.913,0.988,1.0,,,
14,0.0,0.014,0.271,0.726,0.902,0.906,0.94,0.989,1.0,,,
15,0.0,0.014,0.271,0.726,0.902,0.906,0.94,0.989,1.0,,,
16,0.0,0.014,0.271,0.726,0.902,0.906,0.94,0.989,1.0,,,
17,0.0,0.014,0.271,0.726,0.902,0.906,0.94,0.989,1.0,,,
18,0.0,0.014,0.271,0.726,0.902,0.906,0.94,0.989,1.0,,,
19,0.0,0.014,0.271,0.726,0.902,0.906,0.94,0.989,1.0,,,
20,0.0,0.018,0.273,0.727,0.903,0.907,0.939,0.988,1.0,,,
21,0.0,0.018,0.273,0.727,0.903,0.907,0.939,0.988,1.0,,,
22,0.0,0.018,0.273,0.727,0.903,0.907,0.939,0.988,1.0,,,
23,0.0,0.018,0.273,0.727,0.903,0.907,0.939,0.988,1.0,,,
24,0.0,0.018,0.273,0.727,0.903,0.907,0.939,0.988,1.0,,,
25,0.0,0.018,0.273,0.727,0.903,0.907,0.939,0.988,1.0,,,
26,0.0,0.018,0.273,0.727,0.903,0.907,0.939,0.988,1.0,,,
27,0.0,0.066,0.357,0.723,0.902,0.902,0.912,0.989,1.0,,,
28,0.0,0.066,0.357,0.723,0.902,0.902,0.912,0.989,1.0,,,
29,0.0,0.066,0.357,0.723,0.902,0.902,0.912,0.989,1.0,,,
30,0.0,0.066,0.357,0.723,0.902,0.902,0.912,0.989,1.0,,,
31,0.0,0.066,0.357,0.723,0.902,0.902,0.912,0.989,1.0,,,
32,0.0,0.066,0.357,0.723,0.902,0.902,0.912,0.989,1.0,,,
33,0.0,0.019,0.274,0.702,0.906,0.906,0.913,0.988,1.0,,,
34,0.0,0.019,0.274,0.702,0.906,0.906,0.913,0.988,1.0,,,
35,0.0,0.019,0.274,0.702,0.906,0.906,0.913,0.988,1.0,,,
36,0.0,0.019,0.274,0.702,0.906,0.906,0.913,0.988,1.0,,,
37,0.0,0.019,0.274,0.702,0.906,0.906,0.913,0.988,1.0,,,
38,0.0,0.019,0.274,0.702,0.906,0.906,0.913,0.988,1.0,,,
39,0.0,0.019,0.274,0.702,0.906,0.906,0.913,0.988,1.0,,,
40,0.0,0.068,0.353,0.736,0.906,0.906,0.914,0.987,1.0,,,
41,0.0,0.068,0.353,0.736,0.906,0.906,0.914,0.987,1.0,,,
42,0.0,0.068,0.353,0.736,0.906,0.906,0.914,0.987,1.0,,,
43,0.0,0.068,0.353,0.736,0.906,0.906,0.914,0.987,1.0,,,
44,0.0,0.068,0.353,0.736,0.906,0.906,0.914,0.987,1.0,,,
45,0.0,0.068,0.353,0.736,0.906,0.906,0.914,0.987,1.0,,,
46,0.0,0.068,0.353,0.736,0.906,0.906,0.914,0.987,1.0,,,
47,0.0,0.014,0.272,0.733,0.904,0.907,0.939,0.986,1.0,,,
48,0.0,0.014,0.272,0.733,0.904,0.907,0.939,0.986,1.0,,,
49,0.0,0.014,0.272,0.733,0.904,0.907,0.939,0.986,1.0,,,
50,0.0,0.014,0.272,0.733,0.904,0.907,0.939,0.986,1.0,,,
51,0.0,0.014,0.272,0.733,0.904,0.907,0.939,0.986,1.0,,,
52,0.0,0.014,0.272,0.733,0.904,0.907,0.939,0.986,1.0,,,
53,0.0,0.018,0.273,0.732,0.903,0.907,0.94,0.986,1.0,,,
54,0.0,0.018,0.273,0.732,0.903,0.907,0.94,0.986,1.0,,,
55,0.0,0.018,0.273,0.732,0.903,0.907,0.94,0.986,1.0,,,
56,0.0,0.018,0.273,0.732,0.903,0.907,0.94,0.986,1.0,,,
57,0.0,0.018,0.273,0.732,0.903,0.907,0.94,0.986,1.0,,,
58,0.0,0.018,0.273,0.732,0.903,0.907,0.94,0.986,1.0,,,
59,0.0,0.018,0.273,0.732,0.903,0.907,0.94,0.986,1.0,,,
60,0.0,0.018,0.266,0.717,0.905,0.905,0.909,0.986,1.0,,,
61,0.0,0.018,0.266,0.717,0.905,0.905,0.909,0.986,1.0,,,
62,0.0,0.018,0.266,0.717,0.905,0.905,0.909,0.986,1.0,,,
63,0.0,0.018,0.266,0.717,0.905,0.905,0.909,0.986,1.0,,,
64,0.0,0.018,0.266,0.717,0.905,0.905,0.909,0.986,1.0,,,
65,0.0,0.018,0.266,0.717,0.905,0.905,0.909,0.986,1.0,,,
66,0.0,0.018,0.266,0.717,0.905,0.905,0.909,0.986,1.0,,,
67,0.0,0.068,0.355,0.748,0.913,0.913,0.916,0.989,1.0,,,
68,0.0,0.068,0.355,0.748,0.913,0.913,0.916,0.989,1.0,,,
69,0.0,0.068,0.355,0.748,0.913,0.913,0.916,0.989,1.0,,,
70,0.0,0.068,0.355,0.748,0.913,0.913,0.916,0.989,1.0,,,
71,0.0,0.068,0.355,0.748,0.913,0.913,0.916,0.989,1.0,,,
72,0.0,0.068,0.355,0.748,0.913,0.913,0.916,0.989,1.0,,,
73,0.0,0.018,0.269,0.734,0.905,0.909,0.944,0.988,1.0,,,
74,0.0,0.018,0.269,0.734,0.905,0.909,0.944,0.988,1.0,,,
75,0.0,0.018,0.269,0.734,0.905,0.909,0.944,0.988,1.0,,,
76,0.0,0.018,0.269,0.734,0.905,0.909,0.944,0.988,1.0,,,
77,0.0,0.018,0.269,0.734,0.905,0.909,0.944,0.988,1.0,,,
78,0.0,0.018,0.269,0.734,0.905,0.909,0.944,0.988,1.0,,,
79,0.0,0.018,0.269,0.734,0.905,0.909,0.944,0.988,1.0,,,
80,0.0,0.018,0.269,0.72,0.907,0.907,0.914,0.989,1.0,,,
81,0.0,0.018,0.269,0.72,0.907,0.907,0.914,0.989,1.0,,,
82,0.0,0.018,0.269,0.72,0.907,0.907,0.914,0.989,1.0,,,
83,0.0,0.018,0.269,0.72,0.907,0.907,0.914,0.989,1.0,,,
84,0.0,0.018,0.269,0.72,0.907,0.907,0.914,0.989,1.0,,,
85,0.0,0.018,0.269,0.72,0.907,0.907,0.914,0.989,1.0,,,
86,0.0,0.019,0.27,0.719,0.906,0.906,0.913,0.988,1.0,,,
87,0.0,0.019,0.27,0.719,0.906,0.906,0.913,0.988,1.0,,,
88,0.0,0.019,0.27,0.719,0.906,0.906,0.913,0.988,1.0,,,
89,0.0,0.019,0.27,0.719,0.906,0.906,0.913,0.988,1.0,,,
90,0.0,0.019,0.27,0.719,0.906,0.906,0.913,0.988,1.0,,,
