,0,1,2,3,4,5,6,7,8,9,10,11,12
0,0.0,0.042,0.394,0.708,0.918,0.987,0.992,0.992,0.992,0.992,1.0,,
1,0.0,0.042,0.394,0.708,0.918,0.987,0.992,0.992,0.992,0.992,1.0,,
2,0.0,0.042,0.394,0.708,0.918,0.987,0.992,0.992,0.992,0.992,1.0,,
3,0.0,0.042,0.394,0.708,0.918,0.987,0.992,0.992,0.992,0.992,1.0,,
4,0.0,0.044,0.393,0.708,0.917,0.987,0.992,0.992,0.992,0.992,1.0,,
5,0.0,0.044,0.393,0.708,0.917,0.987,0.992,0.992,0.992,0.992,1.0,,
6,0.0,0.044,0.393,0.708,0.917,0.987,0.992,0.992,0.992,0.992,1.0,,
7,0.0,0.044,0.393,0.708,0.917,0.987,0.992,0.992,0.992,0.992,1.0,,
8,0.0,0.044,0.393,0.708,0.917,0.987,0.992,0.992,0.992,0.992,1.0,,
9,0.0,0.044,0.393,0.708,0.917,0.987,0.992,0.992,0.992,0.992,1.0,,
10,0.0,0.044,0.393,0.708,0.917,0.987,0.992,0.992,0.992,0.992,1.0,,
11,0.0,0.043,0.392,0.706,0.916,0.986,0.992,0.992,0.992,0.992,1.0,,
12,0.0,0.043,0.392,0.706,0.916,0.986,0.992,0.992,0.992,0.992,1.0,,
13,0.0,0.043,0.392,0.706,0.916,0.986,0.992,0.992,0.992,0.992,1.0,,
14,0.0,0.043,0.392,0.706,0.916,0.986,0.992,0.992,0.992,0.992,1.0,,
15,0.0,0.043,0.392,0.706,0.916,0.986,0.992,0.992,0.992,0.992,1.0,,
16,0.0,0.043,0.392,0.706,0.916,0.986,0.992,0.992,0.992,0.992,1.0,,
17,0.0,0.043,0.392,0.706,0.916,0.986,0.992,0.992,0.992,0.992,1.0,,
18,0.0,0.044,0.392,0.709,0.918,0.987,0.993,0.993,0.993,0.993,1.0,,
19,0.0,0.044,0.392,0.709,0.918,0.987,0.993,0.993,0.993,0.993,1.0,,
20,0.0,0.044,0.392,0.709,0.918,0.987,0.993,0.993,0.993,0.993,1.0,,
21,0.0,0.044,0.392,0.709,0.918,0.987,0.993,0.993,0.993,0.993,1.0,,
22,0.0,0.044,0.392,0.709,0.918,0.987,0.993,0.993,0.993,0.993,1.0,,
23,0.0,0.044,0.392,0.709,0.918,0.987,0.993,0.993,0.993,0.993,1.0,,
24,0.0,0.045,0.393,0.709,0.917,0.987,0.992,0.992,0.992,0.992,1.0,,
25,0.0,0.045,0.393,0.709,0.917,0.987,0.992,0.992,0.992,0.992,1.0,,
26,0.0,0.045,0.393,0.709,0.917,0.987,0.992,0.992,0.992,0.992,1.0,,
27,0.0,0.045,0.393,0.709,0.917,0.987,0.992,0.992,0.992,0.992,1.0,,
28,0.0,0.045,0.393,0.709,0.917,0.987,0.992,0.992,0.992,0.992,1.0,,
29,0.0,0.045,0.393,0.709,0.917,0.987,0.992,0.992,0.992,0.992,1.0,,
30,0.0,0.045,0.393,0.709,0.917,0.987,0.992,0.992,0.992,0.992,1.0,,
31,0.0,0.043,0.391,0.707,0.918,0.987,0.992,0.992,0.992,0.992,1.0,,
32,0.0,0.043,0.391,0.707,0.918,0.987,0.992,0.992,0.992,0.992,1.0,,
33,0.0,0.043,0.391,0.707,0.918,0.987,0.992,0.992,0.992,0.992,1.0,,
34,0.0,0.043,0.391,0.707,0.918,0.987,0.992,0.992,0.992,0.992,1.0,,
35,0.0,0.043,0.391,0.707,0.918,0.987,0.992,0.992,0.992,0.992,1.0,,
36,0.0,0.043,0.391,0.707,0.918,0.987,0.992,0.992,0.992,0.992,1.0,,
37,0.0,0.047,0.395,0.707,0.917,0.987,0.992,0.992,0.992,0.992,1.0,,
38,0.0,0.047,0.395,0.707,0.917,0.987,0.992,0.992,0.992,0.992,1.0,,
39,0.0,0.047,0.395,0.707,0.917,0.987,0.992,0.992,0.992,0.992,1.0,,
