,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,0.0,0.029,0.458,0.912,1.0,,,,,,,,,
1,0.0,0.029,0.458,0.912,1.0,,,,,,,,,
2,0.0,0.029,0.458,0.912,1.0,,,,,,,,,
3,0.0,0.029,0.458,0.912,1.0,,,,,,,,,
4,0.0,0.029,0.458,0.912,1.0,,,,,,,,,
5,0.0,0.029,0.458,0.912,1.0,,,,,,,,,
6,0.0,0.029,0.458,0.912,1.0,,,,,,,,,
7,0.0,0.034,0.534,0.914,0.983,1.0,,,,,,,,
8,0.0,0.034,0.534,0.914,0.983,1.0,,,,,,,,
9,0.0,0.034,0.534,0.914,0.983,1.0,,,,,,,,
10,0.0,0.034,0.534,0.914,0.983,1.0,,,,,,,,
11,0.0,0.034,0.534,0.914,0.983,1.0,,,,,,,,
12,0.0,0.034,0.534,0.914,0.983,1.0,,,,,,,,
13,0.0,0.035,0.516,0.909,0.985,1.0,,,,,,,,
14,0.0,0.035,0.516,0.909,0.985,1.0,,,,,,,,
15,0.0,0.035,0.516,0.909,0.985,1.0,,,,,,,,
16,0.0,0.035,0.516,0.909,0.985,1.0,,,,,,,,
17,0.0,0.035,0.516,0.909,0.985,1.0,,,,,,,,
18,0.0,0.035,0.516,0.909,0.985,1.0,,,,,,,,
19,0.0,0.035,0.516,0.909,0.985,1.0,,,,,,,,
20,0.0,0.034,0.513,0.915,0.984,1.0,,,,,,,,
21,0.0,0.034,0.513,0.915,0.984,1.0,,,,,,,,
22,0.0,0.034,0.513,0.915,0.984,1.0,,,,,,,,
23,0.0,0.034,0.513,0.915,0.984,1.0,,,,,,,,
24,0.0,0.034,0.513,0.915,0.984,1.0,,,,,,,,
25,0.0,0.034,0.513,0.915,0.984,1.0,,,,,,,,
26,0.0,0.034,0.513,0.915,0.984,1.0,,,,,,,,
27,0.0,0.05,0.413,0.858,0.983,1.0,,,,,,,,
28,0.0,0.05,0.413,0.858,0.983,1.0,,,,,,,,
29,0.0,0.05,0.413,0.858,0.983,1.0,,,,,,,,
30,0.0,0.05,0.413,0.858,0.983,1.0,,,,,,,,
31,0.0,0.05,0.413,0.858,0.983,1.0,,,,,,,,
32,0.0,0.05,0.413,0.858,0.983,1.0,,,,,,,,
33,0.0,0.056,0.47,0.858,0.99,1.0,,,,,,,,
34,0.0,0.056,0.47,0.858,0.99,1.0,,,,,,,,
35,0.0,0.056,0.47,0.858,0.99,1.0,,,,,,,,
36,0.0,0.056,0.47,0.858,0.99,1.0,,,,,,,,
37,0.0,0.056,0.47,0.858,0.99,1.0,,,,,,,,
38,0.0,0.056,0.47,0.858,0.99,1.0,,,,,,,,
39,0.0,0.056,0.47,0.858,0.99,1.0,,,,,,,,
40,0.0,0.046,0.557,0.848,0.976,1.0,,,,,,,,
41,0.0,0.046,0.557,0.848,0.976,1.0,,,,,,,,
42,0.0,0.046,0.557,0.848,0.976,1.0,,,,,,,,
43,0.0,0.046,0.557,0.848,0.976,1.0,,,,,,,,
44,0.0,0.046,0.557,0.848,0.976,1.0,,,,,,,,
45,0.0,0.046,0.557,0.848,0.976,1.0,,,,,,,,
46,0.0,0.046,0.557,0.848,0.976,1.0,,,,,,,,
47,0.0,0.044,0.562,0.851,0.976,1.0,,,,,,,,
48,0.0,0.044,0.562,0.851,0.976,1.0,,,,,,,,
49,0.0,0.044,0.562,0.851,0.976,1.0,,,,,,,,
50,0.0,0.044,0.562,0.851,0.976,1.0,,,,,,,,
51,0.0,0.044,0.562,0.851,0.976,1.0,,,,,,,,
52,0.0,0.044,0.562,0.851,0.976,1.0,,,,,,,,
