,average value,variance 1D,y axis variance,pressure value ratio as 3,points ratio as 3,target
0,261.3939393939393,54199.87511478418,1.9949844153594707,0.889,0.697,0.0
1,264.5714285714285,54297.7306122449,2.0160669103275195,0.875,0.686,0.0
2,264.5714285714285,54297.7306122449,2.0160669103275195,0.875,0.686,0.0
3,264.5714285714285,54297.7306122449,2.0160669103275195,0.875,0.686,0.0
4,264.5714285714285,54297.7306122449,2.0160669103275195,0.875,0.686,0.0
5,264.5714285714285,54297.7306122449,2.0160669103275195,0.875,0.686,0.0
6,264.5714285714285,54297.7306122449,2.0160669103275195,0.875,0.686,0.0
7,264.5714285714285,54297.7306122449,2.0160669103275195,0.875,0.686,0.0
8,264.5714285714285,54297.7306122449,2.0160669103275195,0.875,0.686,0.0
9,264.5714285714285,54297.7306122449,2.0160669103275195,0.875,0.686,0.0
10,264.5714285714285,54297.7306122449,2.0160669103275195,0.875,0.686,0.0
11,264.5714285714285,54297.7306122449,2.0160669103275195,0.875,0.686,0.0
12,264.5714285714285,54297.7306122449,2.0160669103275195,0.875,0.686,0.0
13,264.5714285714285,54297.7306122449,2.0160669103275195,0.875,0.686,0.0
14,264.5714285714285,54297.7306122449,2.0160669103275195,0.875,0.686,0.0
15,265.40000000000003,54377.15428571427,2.053268705418143,0.872,0.686,0.0
16,265.40000000000003,54377.15428571427,2.053268705418143,0.872,0.686,0.0
17,265.40000000000003,54377.15428571427,2.053268705418143,0.872,0.686,0.0
18,265.40000000000003,54377.15428571427,2.053268705418143,0.872,0.686,0.0
19,265.40000000000003,54377.15428571427,2.053268705418143,0.872,0.686,0.0
20,265.40000000000003,54377.15428571427,2.053268705418143,0.872,0.686,0.0
21,265.40000000000003,54377.15428571427,2.053268705418143,0.872,0.686,0.0
22,265.40000000000003,54377.15428571427,2.053268705418143,0.872,0.686,0.0
23,265.40000000000003,54377.15428571427,2.053268705418143,0.872,0.686,0.0
24,265.40000000000003,54377.15428571427,2.053268705418143,0.872,0.686,0.0
25,265.40000000000003,54377.15428571427,2.053268705418143,0.872,0.686,0.0
26,265.40000000000003,54377.15428571427,2.053268705418143,0.872,0.686,0.0
27,265.40000000000003,54377.15428571427,2.053268705418143,0.872,0.686,0.0
28,264.99999999999994,55093.48571428573,2.020914303150951,0.873,0.686,0.0
29,264.99999999999994,55093.48571428573,2.020914303150951,0.873,0.686,0.0
30,264.99999999999994,55093.48571428573,2.020914303150951,0.873,0.686,0.0
31,264.99999999999994,55093.48571428573,2.020914303150951,0.873,0.686,0.0
32,264.99999999999994,55093.48571428573,2.020914303150951,0.873,0.686,0.0
33,264.99999999999994,55093.48571428573,2.020914303150951,0.873,0.686,0.0
34,264.99999999999994,55093.48571428573,2.020914303150951,0.873,0.686,0.0
35,264.99999999999994,55093.48571428573,2.020914303150951,0.873,0.686,0.0
36,264.99999999999994,55093.48571428573,2.020914303150951,0.873,0.686,0.0
37,264.99999999999994,55093.48571428573,2.020914303150951,0.873,0.686,0.0
38,264.99999999999994,55093.48571428573,2.020914303150951,0.873,0.686,0.0
39,264.99999999999994,55093.48571428573,2.020914303150951,0.873,0.686,0.0
40,264.99999999999994,55093.48571428573,2.020914303150951,0.873,0.686,0.0
41,266.19999999999993,54830.44571428571,2.0180854912816484,0.871,0.686,0.0
