,average value,variance 1D,y axis variance,pressure value ratio as 3,points ratio as 3
0,399.8333333333333,105878.25,2.266055038255349,0.902,0.833
1,399.8333333333333,105878.25,2.266055038255349,0.902,0.833
2,399.8333333333333,105878.25,2.266055038255349,0.902,0.833
3,399.8333333333333,105878.25,2.266055038255349,0.902,0.833
4,399.8333333333333,105878.25,2.266055038255349,0.902,0.833
5,399.8333333333333,105878.25,2.266055038255349,0.902,0.833
6,265.3157894736843,79903.37396121884,2.2070352606740187,0.868,0.737
7,265.3157894736843,79903.37396121884,2.2070352606740187,0.868,0.737
8,265.3157894736843,79903.37396121884,2.2070352606740187,0.868,0.737
9,265.3157894736843,79903.37396121884,2.2070352606740187,0.868,0.737
10,265.3157894736843,79903.37396121884,2.2070352606740187,0.868,0.737
11,265.3157894736843,79903.37396121884,2.2070352606740187,0.868,0.737
12,265.3157894736843,79903.37396121884,2.2070352606740187,0.868,0.737
13,275.33333333333337,80538.88888888889,2.2310578449516356,0.897,0.833
14,275.33333333333337,80538.88888888889,2.2310578449516356,0.897,0.833
15,275.33333333333337,80538.88888888889,2.2310578449516356,0.897,0.833
16,275.33333333333337,80538.88888888889,2.2310578449516356,0.897,0.833
17,275.33333333333337,80538.88888888889,2.2310578449516356,0.897,0.833
18,275.33333333333337,80538.88888888889,2.2310578449516356,0.897,0.833
19,263.2857142857142,83601.82312925169,8.792669546433034,0.89,0.714
20,263.2857142857142,83601.82312925169,8.792669546433034,0.89,0.714
21,263.2857142857142,83601.82312925169,8.792669546433034,0.89,0.714
22,263.2857142857142,83601.82312925169,8.792669546433034,0.89,0.714
23,263.2857142857142,83601.82312925169,8.792669546433034,0.89,0.714
24,263.2857142857142,83601.82312925169,8.792669546433034,0.89,0.714
25,263.2857142857142,83601.82312925169,8.792669546433034,0.89,0.714
26,314.4999999999999,109214.36111111111,1.8532078011488218,0.904,0.722
27,314.4999999999999,109214.36111111111,1.8532078011488218,0.904,0.722
28,314.4999999999999,109214.36111111111,1.8532078011488218,0.904,0.722
29,314.4999999999999,109214.36111111111,1.8532078011488218,0.904,0.722
30,314.4999999999999,109214.36111111111,1.8532078011488218,0.904,0.722
31,314.4999999999999,109214.36111111111,1.8532078011488218,0.904,0.722
32,314.4999999999999,109214.36111111111,1.8532078011488218,0.904,0.722
33,311.64,68109.99040000001,1.8472112234000042,0.928,0.76
34,311.64,68109.99040000001,1.8472112234000042,0.928,0.76
35,311.64,68109.99040000001,1.8472112234000042,0.928,0.76
36,311.64,68109.99040000001,1.8472112234000042,0.928,0.76
37,311.64,68109.99040000001,1.8472112234000042,0.928,0.76
38,311.64,68109.99040000001,1.8472112234000042,0.928,0.76
39,323.08333333333337,75160.49305555553,1.6880251144142266,0.956,0.792
40,323.08333333333337,75160.49305555553,1.6880251144142266,0.956,0.792
41,323.08333333333337,75160.49305555553,1.6880251144142266,0.956,0.792
42,323.08333333333337,75160.49305555553,1.6880251144142266,0.956,0.792
43,323.08333333333337,75160.49305555553,1.6880251144142266,0.956,0.792
44,323.08333333333337,75160.49305555553,1.6880251144142266,0.956,0.792
45,323.08333333333337,75160.49305555553,1.6880251144142266,0.956,0.792
46,283.99999999999994,63796.31578947367,1.630916065822582,0.968,0.842
47,283.99999999999994,63796.31578947367,1.630916065822582,0.968,0.842
48,283.99999999999994,63796.31578947367,1.630916065822582,0.968,0.842
49,283.99999999999994,63796.31578947367,1.630916065822582,0.968,0.842
50,283.99999999999994,63796.31578947367,1.630916065822582,0.968,0.842
51,283.99999999999994,63796.31578947367,1.630916065822582,0.968,0.842
52,352.9999999999999,83723.91304347826,1.6199778085435363,0.965,0.826
53,352.9999999999999,83723.91304347826,1.6199778085435363,0.965,0.826
54,352.9999999999999,83723.91304347826,1.6199778085435363,0.965,0.826
55,352.9999999999999,83723.91304347826,1.6199778085435363,0.965,0.826
56,352.9999999999999,83723.91304347826,1.6199778085435363,0.965,0.826
