,0,1,2,3,4,5,6,7,8,9,10,11
0,0,0.059,0.235,0.618,0.853,0.853,0.912,0.971,1,,,
1,0,0.059,0.235,0.618,0.853,0.853,0.912,0.971,1,,,
2,0,0.059,0.235,0.618,0.853,0.853,0.912,0.971,1,,,
3,0,0.059,0.235,0.618,0.853,0.853,0.912,0.971,1,,,
4,0,0.059,0.235,0.618,0.853,0.853,0.912,0.971,1,,,
5,0,0.059,0.235,0.618,0.853,0.853,0.912,0.971,1,,,
6,0,0.059,0.235,0.618,0.853,0.853,0.912,0.971,1,,,
7,0,0.059,0.235,0.588,0.853,0.853,0.912,0.971,1,,,
8,0,0.059,0.235,0.588,0.853,0.853,0.912,0.971,1,,,
9,0,0.059,0.235,0.588,0.853,0.853,0.912,0.971,1,,,
10,0,0.059,0.235,0.588,0.853,0.853,0.912,0.971,1,,,
11,0,0.059,0.235,0.588,0.853,0.853,0.912,0.971,1,,,
12,0,0.059,0.235,0.588,0.853,0.853,0.912,0.971,1,,,
13,0,0.059,0.235,0.588,0.853,0.853,0.912,0.971,1,,,
14,0,0.031,0.219,0.625,0.844,0.875,0.938,0.969,1,,,
15,0,0.031,0.219,0.625,0.844,0.875,0.938,0.969,1,,,
16,0,0.031,0.219,0.625,0.844,0.875,0.938,0.969,1,,,
17,0,0.031,0.219,0.625,0.844,0.875,0.938,0.969,1,,,
18,0,0.031,0.219,0.625,0.844,0.875,0.938,0.969,1,,,
19,0,0.031,0.219,0.625,0.844,0.875,0.938,0.969,1,,,
20,0,0.061,0.242,0.636,0.848,0.879,0.939,0.97,1,,,
21,0,0.061,0.242,0.636,0.848,0.879,0.939,0.97,1,,,
22,0,0.061,0.242,0.636,0.848,0.879,0.939,0.97,1,,,
23,0,0.061,0.242,0.636,0.848,0.879,0.939,0.97,1,,,
24,0,0.061,0.242,0.636,0.848,0.879,0.939,0.97,1,,,
25,0,0.061,0.242,0.636,0.848,0.879,0.939,0.97,1,,,
26,0,0.061,0.242,0.636,0.848,0.879,0.939,0.97,1,,,
27,0,0.062,0.25,0.625,0.844,0.844,0.906,0.969,1,,,
28,0,0.062,0.25,0.625,0.844,0.844,0.906,0.969,1,,,
29,0,0.062,0.25,0.625,0.844,0.844,0.906,0.969,1,,,
30,0,0.062,0.25,0.625,0.844,0.844,0.906,0.969,1,,,
31,0,0.062,0.25,0.625,0.844,0.844,0.906,0.969,1,,,
32,0,0.062,0.25,0.625,0.844,0.844,0.906,0.969,1,,,
33,0,0.061,0.242,0.606,0.848,0.848,0.909,0.97,1,,,
34,0,0.061,0.242,0.606,0.848,0.848,0.909,0.97,1,,,
35,0,0.061,0.242,0.606,0.848,0.848,0.909,0.97,1,,,
36,0,0.061,0.242,0.606,0.848,0.848,0.909,0.97,1,,,
37,0,0.061,0.242,0.606,0.848,0.848,0.909,0.97,1,,,
38,0,0.061,0.242,0.606,0.848,0.848,0.909,0.97,1,,,
39,0,0.061,0.242,0.606,0.848,0.848,0.909,0.97,1,,,
40,0,0.088,0.265,0.647,0.853,0.853,0.912,0.971,1,,,
41,0,0.088,0.265,0.647,0.853,0.853,0.912,0.971,1,,,
42,0,0.088,0.265,0.647,0.853,0.853,0.912,0.971,1,,,
43,0,0.088,0.265,0.647,0.853,0.853,0.912,0.971,1,,,
44,0,0.088,0.265,0.647,0.853,0.853,0.912,0.971,1,,,
45,0,0.088,0.265,0.647,0.853,0.853,0.912,0.971,1,,,
46,0,0.088,0.265,0.647,0.853,0.853,0.912,0.971,1,,,
47,0,0.03,0.242,0.636,0.848,0.879,0.939,0.97,1,,,
48,0,0.03,0.242,0.636,0.848,0.879,0.939,0.97,1,,,
49,0,0.03,0.242,0.636,0.848,0.879,0.939,0.97,1,,,
50,0,0.03,0.242,0.636,0.848,0.879,0.939,0.97,1,,,
